,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
507,19宝钢MTN003,100.07,3.5700,-1.0,3.5700,
508,19陕煤化MTN005,98.24,4.6400,-11.0,4.6400,
509,20中化工MTN006,98.40,4.0500,-12.72,4.0500,
510,20厦门国际银行CD056,97.74,3.0901,1.0,3.0901,
511,19国盛MTN002,99.92,3.5719,1.0,3.5700,
512,16农发17,100.79,3.1782,-0.18,3.1826,
513,18农发06,106.89,3.5700,-1.0,3.5784,
514,20中国银行CD088,99.26,2.8498,11.02,2.8097,
515,20重庆银行CD052,97.79,2.9501,,2.9501,
516,20首钢SCP008,99.67,3.2875,-11.25,3.3140,
517,20汉口银行CD085,96.92,3.1500,-29.0,3.1100,
518,20农业银行CD030,97.95,2.8001,-17.99,2.9280,
519,20浦发银行CD137,97.76,2.7999,-23.0,2.8001,
520,17建元9A2,71.07,,,,
521,20中石集SCP007,100.00,1.9943,-20.59,1.9943,
522,20中石化MTN002,98.24,3.5100,-7.0,3.5100,
523,20平安银行CD322,97.07,3.0200,-12.97,3.0460,
524,19华驭9A,99.89,,,,
525,20江阴公SCP004,99.56,3.7401,,3.7388,
526,20兴业银行小微债05,99.89,3.4900,1.0,3.4898,
527,20义乌国资MTN004,99.16,4.1920,6.7,4.1910,
528,19湛江交投PPN001,100.15,4.4582,-12.01,4.4582,
529,20中航租赁PPN004,99.98,3.4795,-29.03,3.4882,
530,19余杭经开PPN001,100.68,4.7357,,4.7357,
531,19浙小商MTN001,100.10,3.9143,-9.57,3.9116,
532,20鲁高速SCP003,100.04,3.1602,-40.11,3.1468,
533,19长电MTN001,100.23,3.5704,-1.93,3.5697,
534,14农发28,100.77,2.8160,1.61,2.7932,
535,20浦东开发MTN001,99.47,3.6604,-3.32,3.6578,
536,18信达投资MTN001,100.74,3.8000,-5.0,3.7975,
537,20农发08,100.29,3.3800,1.0,3.3800,
538,19招商证券金融债01BC,99.92,3.4929,-6.57,3.4819,
539,18中信银行二级01,102.04,4.6370,0.02,4.6370,
540,16江苏债38,99.87,2.8500,-4.69,2.8500,
541,18闽投MTN002,100.84,3.1499,-13.0,3.1489,
542,18民生银行01,100.65,3.0999,-10.11,3.0999,
543,19汇金MTN015,99.55,3.4400,-11.0,3.4400,
544,17国开06,101.30,3.0023,-5.27,3.0372,
545,19光明MTN001,99.62,3.5628,1.0,3.5610,
546,20浦发银行CD515,97.05,3.0301,-12.99,3.2591,
547,20恒丰银行CD415,99.26,2.8497,,2.8497,
548,18宁波银行02,100.70,2.9667,-27.69,2.9721,
549,20中铝集SCP004,99.74,3.2800,-11.99,3.2800,
550,16农发11,100.10,2.6102,-11.96,2.6900,
551,19中油股MTN003,100.02,3.6500,-1.0,3.6500,
552,16进出16,100.47,2.8026,-27.72,2.8026,
553,20国开04,99.56,3.5100,-0.25,3.5253,
554,20交通银行CD065,97.88,2.7800,-5.01,2.8286,
555,20工商银行二级01,99.23,4.2959,-8.41,4.2967,
556,20进出01,99.83,2.7000,1.0,2.7071,
557,14国开05,107.65,3.2587,-3.13,3.2599,
558,20杭金投SCP003,99.90,3.3008,0.15,3.3008,
559,20农发清发03,100.26,3.0875,-1.57,3.1064,
560,18招商银行01,100.52,3.1300,1.0,3.1300,
561,20杭城投CP001,99.98,3.3466,-10.67,3.3451,
562,18青岛债10,101.74,3.2300,,3.2300,
563,20上海银行CD298,99.76,2.8499,,2.8500,
564,16张经开发债,59.96,3.9952,-5.61,3.9971,
565,15浙江债16,100.43,3.3300,4.4,3.3263,
566,18余杭交通PPN001,100.31,6.2314,3.01,6.2314,
567,20兴业银行CD050,97.22,2.8497,-5.01,2.8497,
568,20农发01,99.97,2.8096,-2.0,2.8207,
569,20农业银行CD078,98.62,2.7397,-20.26,2.7298,
570,20民生银行CD026,97.22,2.6997,-25.04,2.7000,
571,20中国银行CD109,98.62,2.7999,1.0,2.7999,
572,20民生银行CD550,97.97,4.2434,46.52,4.2434,
573,20平安银行CD276,98.58,2.8000,-23.27,2.8000,
574,20汇金MTN009A,99.14,3.5380,-2.2,3.5456,
575,20豫交运SCP003,99.30,3.8001,1.0,3.7969,
576,20江苏银行CD112,97.07,3.0500,-34.99,3.0500,
577,20郑州银行CD112,97.26,3.0001,-22.99,3.0001,
578,20珠海华润银行CD062,96.88,3.2000,,3.2000,
579,20南电MTN008,95.70,3.7700,-0.87,3.7700,
580,20河北银行CD056,99.35,1.5966,-35.28,1.5966,
581,20中信银行CD094,98.14,2.7801,-28.0,2.7801,
582,20华电股MTN003,97.46,3.6478,-0.11,3.6594,
583,16四川债23,99.27,3.2200,,3.2200,
584,20北辰科技MTN001,96.60,7.5171,,7.5168,
