,price,r,r+1
288,2146.61,-0.004216728,0.004015634
289,2155.23,0.004015634,-0.007651156
290,2138.74,-0.007651156,0.036699178
291,2217.23,0.036699178,-0.002800792
292,2211.02,-0.002800792,0.005915822
293,2224.1,0.005915822,-0.042673441
294,2129.19,-0.042673441,-0.035501764
295,2053.6,-0.035501764,0.000301909
296,2054.22,0.000301909,-0.009390426
297,2034.93,-0.009390426,-0.00017691
298,2034.57,-0.00017691,-0.004595566
299,2025.22,-0.004595566,0.016116768
300,2057.86,0.016116768,0.011458505
301,2081.44,0.011458505,-0.029287416
302,2020.48,-0.029287416,0.008374248
303,2037.4,0.008374248,0.013693924
304,2065.3,0.013693924,0.015944415
305,2098.23,0.015944415,-0.010828174
306,2075.51,-0.010828174,-0.003979745
307,2067.25,-0.003979745,0.009074858
308,2086.01,0.009074858,-0.007727671
309,2069.89,-0.007727671,-0.005493046
310,2058.52,-0.005493046,0.049200396
311,2159.8,0.049200396,0.004176313
312,2168.82,0.004176313,0.009101724
313,2188.56,0.009101724,0.007498081
314,2204.97,0.007498081,-0.002571464
315,2199.3,-0.002571464,-0.001168554
316,2196.73,-0.001168554,-0.004638713
317,2186.54,-0.004638713,-0.060291602
318,2054.71,-0.060291602,0.001752072
319,2058.31,0.001752072,0.034246542
320,2128.8,0.034246542,-0.012861706
321,2101.42,-0.012861706,0.010216901
322,2122.89,0.010216901,-0.001535642
323,2119.63,-0.001535642,-0.013035294
324,2092,-0.013035294,0.025248566
325,2144.82,0.025248566,-0.003417536
326,2137.49,-0.003417536,-0.004739203
327,2127.36,-0.004739203,0.030295766
328,2191.81,0.030295766,0.011360474
329,2216.71,0.011360474,-0.003121743
330,2209.79,-0.003121743,0.00814557
331,2227.79,0.00814557,-0.007455819
332,2211.18,-0.007455819,0.016972838
