,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
1490,20浙国贸MTN001,99.61,4.3352,-0.17,4.3352,,2.8849,否
1491,20华联投资(疫情防控债)PPN001,99.91,6.5066,-1.0,6.5138,,0.3397,否
1492,20电网SCP030,99.59,3.1386,,3.1386,,0.3562,否
1493,20青岛啤酒SCP006,100.00,3.3784,-0.13,3.3784,,0.4493,否
1494,20安徽债41,99.94,3.23,,3.23,,2.8521,否
1495,16农发18,100.75,3.4208,14.4,3.4208,,5.3726,否
1496,16中电路桥MTN001,100.10,7.2281,0.81,7.2281,,0.1257,是
1497,20川高速SCP008,100.00,3.5786,-0.1,3.5786,,0.5644,否
1498,20泉州金控MTN001,97.47,3.7893,-0.13,3.7893,,4.3479,否
1499,20天恒置业PPN007,100.00,4.7698,-0.01,4.7698,,5.989,否
1500,20广州国资SCP002,99.61,3.2883,-1.16,3.2883,,0.2603,否
1501,08国债20,101.94,3.76,1.0,3.76,,17.8767,否
1502,20兴业银行CD148,97.72,3.2199,1.0,3.2199,,0.4192,否
1503,20天津债85,100.00,3.3197,-0.02,3.3287,,2.9863,否
1504,18上饶国资MTN001,100.50,6.6871,1.18,6.6871,,2.1721,否
1505,16附息国债07,99.89,2.8499,0.99,2.8499,,0.3507,否
1506,20梅山岛MTN001,99.28,4.4798,-0.02,4.4798,,2.6164,否
1507,11附息国债16,112.21,3.65,-5.0,3.65,,20.5425,否
1508,20江北新城MTN001,98.88,4.991,-5.76,4.991,,2.7178,否
1509,20前海熙和ABN001优先,99.43,,,,,0.4822,否
1510,19包钢MTN002,99.69,6.5833,-125.47,6.5825,,3.6137,否
1511,19包钢MTN001,100.02,6.0778,-31.3,6.077,,3.3726,否
1512,12启东债,31.32,4.1069,-17.31,4.1035,,1.9534,否
1513,20银海租赁SCP001,99.72,5.8393,,5.8393,,0.4603,否
1514,17扬州经开MTN005,103.15,8.6979,-2.2,8.6971,,1.674,是
1515,20佛燃能源SCP003,99.76,3.6299,-0.01,3.6299,,0.5315,否
1516,20漳州交运MTN001,100.10,7.2619,-8.13,7.2619,,1.8082,是
1517,20闽电子MTN002,101.37,4.9661,-4.25,4.9661,,2.8521,否
1518,20太湖新城MTN002,99.55,3.9649,-4.05,3.9649,,2.9096,否
1519,18泉州台商MTN003,106.00,4.5004,-26.64,4.4995,,2.8466,否
1520,19开滦MTN002,100.23,4.3614,19.73,4.3566,,0.5123,否
1521,19龙岩投资MTN001,102.52,4.4169,-52.69,4.4149,,1.2849,否
1522,20阳煤MTN004,96.86,5.3488,50.99,5.3499,,2.474,否
1523,20漳州经发MTN001,98.94,4.1701,,4.1701,,4.3096,否
1524,20锦江国际MTN001,98.17,3.4698,-32.8,3.4698,,2.4356,否
1525,11附息国债05,107.84,3.7525,,3.7525,,20.2158,否
1526,20南电MTN001,99.59,3.505,-9.8,3.505,,2.0929,否
1527,19进出06,100.26,3.18,1.0,3.18,,1.4877,否
1528,16渝新梁债,51.44,14.993,-863.27,15.1351,,2.7178,否
1529,19海陵资产PPN002,101.86,5.9363,1.63,5.9363,,1.3014,否
1530,20深圳债43,97.55,3.405,,3.405,,6.4466,否
1531,17鲁宏桥MTN003,89.60,16.046,-1933.29,16.046,,1.1175,否
1532,20新都香城MTN001,101.12,5.3714,-130.74,5.3714,,4.6384,否
1533,20万华化学SCP003,99.95,2.6291,,2.6291,,0.0492,否
1534,20宝钢SCP023,99.74,3.2501,97.02,3.2501,,0.2712,否
1535,20大唐租赁SCP001,100.00,2.5916,-1.97,2.5916,,0.0109,否
1536,18首创置业MTN001,101.15,10.592,-0.14,10.592,,0.5315,是
1537,20靖江城投SCP005,99.87,4.7,,4.7,,0.5507,否
1538,19江门滨江PPN003,101.42,5.2449,-25.51,5.2449,,2.0464,否
1539,20中储发展SCP003,99.99,3.202,1.0,3.202,,0.0219,否
1540,20广东债64,94.75,3.54,3.05,3.54,,9.4301,否
1541,20三峡GN001,98.51,3.63,1.0,3.63,,2.2411,否
1542,19科学城MTN002,99.71,3.88,-14.0,3.88,,2.0273,否
1543,20武汉工业SCP002,99.91,3.9896,-16.07,3.9896,,0.1066,否
1544,19东风日产汽车债01,99.94,3.7579,-3.21,3.7579,,1.2658,否
1545,19青岛01,100.38,3.2096,-2.04,3.2096,,3.1448,否
1546,19沪港务MTN001,99.78,3.555,-2.41,3.555,,1.2658,否
1547,18海运集装MTN002,100.98,7.6166,-0.08,7.6166,,0.8849,是
1548,20浙商资产PPN004,99.97,4.1383,-5.84,4.1383,,0.7123,否
1549,18科学城PPN001,100.77,3.7366,-21.94,3.7366,,0.3616,否
1550,18广汽商贸MTN001,100.47,3.98,-2.01,3.98,,0.9616,否
1551,19宜春交通MTN002,101.49,5.1373,0.57,5.1363,,3.3836,否
1552,20嘉兴商务SCP001,99.78,4.3221,,4.3221,,0.1257,否
1553,19附息国债08,100.86,3.96,-0.5,3.96,,48.5452,否
1554,18上汽通用债02,100.42,3.6,-0.42,3.6,,0.9699,否
1555,16国开05,98.06,3.9725,-0.15,3.9725,,15.1339,否
1556,17老河口债,79.36,6.88,,6.88,,3.6904,否
1557,20天地源PPN001,99.98,7.98,-34.42,7.98,,2.9425,否
1558,17黄岩债02,81.49,5.3,30.95,5.3,,3.7699,否
1559,15附息国债02,100.49,2.9074,18.74,2.9074,,1.1257,否
1560,18宁波16,101.00,3.2,,3.2,,2.9562,否
1561,14国开10,100.86,2.9,-9.0,2.9,,0.3342,否
1562,20广州高新PPN001,99.28,4.4454,-0.03,4.4454,,4.8548,否
1563,20北京银行CD102,97.07,3.0,-10.02,3.0,,0.7315,否
1564,20兴业银行CD356,97.05,3.05,-29.99,3.05,,0.7205,否
1565,16神华MTN003,99.90,3.3499,-2.6,3.3499,,0.674,否
1566,18豫高管MTN003,100.45,3.5601,-9.0,3.5601,,0.389,否
1567,18豫高管MTN001,100.48,3.45,-25.02,3.45,,0.2685,否
1568,20首创集MTN002,100.14,3.7365,-0.23,3.7365,,2.8685,否
1569,20巩义国资MTN001,98.80,3.9986,0.03,3.9986,,2.3151,否
1570,19中电投MTN012A,99.93,3.586,-1.4,3.586,,1.5753,否
1571,19中节能GN001,100.09,4.0848,-11.66,4.0848,,3.9781,否
1572,18中信银行二级02,101.59,4.5533,-0.13,4.5533,,7.874,否
1573,18附息国债02,100.13,2.4997,1.0,2.4997,,0.1339,否
1574,19鲁能源MTN001,99.76,4.02,3.68,4.02,,1.6521,否
1575,20常城建SCP011,99.39,3.6299,1.99,3.6299,,0.3726,否
1576,18冀中能源PPN001,68.00,378.2017,37204.59,378.2017,,0.1175,否
1577,19大唐租赁PPN002,100.34,4.2921,,4.2921,,1.9534,否
1578,20万州经开MTN001,99.54,5.8067,0.51,5.8067,,4.5808,否
1579,20隆博投资MTN001,99.24,6.382,0.97,6.382,,4.6849,否
1580,20西安浐灞MTN001,99.84,7.0292,0.96,7.0292,,4.6795,否
1581,19晋江建投PPN001,100.57,4.2506,10.43,4.2506,,1.1066,否
1582,20甘公投PPN001,96.98,4.9,,4.9,,4.2521,否
1583,19永州城投PPN001,103.68,5.2118,6.5,5.2118,,1.7562,否
1584,20长沙水业MTN001,99.24,8.2497,-8.86,8.2497,,2.9041,是
1585,20江宁经开MTN003,99.49,4.1744,-4.76,4.1744,,4.9342,否
1586,20泰州城投PPN003,99.65,4.3659,-8.92,4.3659,,2.9315,否
1587,20蓉经开CP001,99.88,4.0924,-10.4,4.0924,,0.811,否
1588,20桐庐国资CP002,99.58,4.2963,51.15,4.2963,,0.811,否
1589,20长江出版(疫情防控债)MTN001,98.13,3.918,15.06,3.918,,4.2959,否
1590,19湘环科园PPN001,100.94,6.0627,-1.11,6.0627,,3.2877,否
1591,20大同煤矿PPN007,98.39,5.6834,1.4,5.6834,,2.3671,否
1592,16晋能MTN002,102.11,9.0534,0.29,9.0534,,0.811,是
1593,20民生银行CD195,97.78,3.1499,-15.02,3.1499,,0.3945,否
1594,19濮阳投资MTN001,100.12,5.2484,-6.42,5.2479,,3.4192,否
1595,20大同煤矿PPN003,98.87,5.7424,-1.66,5.7424,,2.2268,否
1596,20东北证券CP008,100.00,3.3088,-0.09,3.3088,,0.2384,否
1597,20钟楼经开CP001,100.02,4.2019,-24.81,4.2019,,0.112,否
1598,19世园投资MTN001,99.79,4.5602,-3.14,4.5602,,2.0082,否
1599,20武清国资CP002,99.16,5.436,-41.4,5.436,,0.9233,否
1600,20钟楼新城SCP003,99.54,4.9022,1.18,4.9022,,0.3836,否
1601,20池州建设CP001,99.44,5.0748,3.37,5.0748,,0.2795,否
